"id","text","language","crop","label","answer"
"R001","Hello, I want information about rice farming.","en","rice","greeting","Welcome to AgriSmart! I am your rice farming assistant. You can ask me about rice cultivation, pests, diseases, fertilizers, irrigation, harvesting, and rice varieties. How can I help you today?"
"R002","Hi, can you help me with rice crop?","en","rice","greeting","Hello! I'm here to guide you about rice farming. Feel free to ask about planting methods, fertilizer use, irrigation management, pest control, or harvesting techniques."
"R003","Assalam o Alaikum, I need rice farming tips.","en","rice","greeting","Hi there! I can help you with all aspects of rice cultivation including soil preparation, nursery management, transplanting, and crop protection."
"R004","Hello, guide me about rice cultivation.","en","rice","greeting","Assalam o Alaikum! Welcome to AgriSmart. I am here to assist you with rice farming advice from land preparation to harvesting."
"R005","Hi, I am a rice farmer. Need help.","en","rice","greeting","Hello and welcome! You can ask me questions about rice varieties, fertilizer recommendations, irrigation schedules, pest control, and yield improvement."
"R006","Hello, tell me about rice.","en","rice","greeting","Hi! I'm your rice crop assistant. I can provide guidance on rice farming practices, disease management, and improving crop production."
"R007","Hi, I want to learn rice farming.","en","rice","greeting","Welcome! Rice farming requires proper land preparation, healthy seedlings, balanced fertilizers, and good irrigation management. How can I assist you?"
"R008","Hello, rice crop information please.","en","rice","greeting","Hello farmer! I can guide you with rice cultivation techniques, pest control strategies, and proper fertilizer use."
"R009","Hi, can you tell me about rice?","en","rice","greeting","Hi! If you need help with rice crop management, irrigation practices, or pest and disease control, feel free to ask."
"R010","Hello, I need rice farming advice.","en","rice","greeting","Welcome to the rice farming guide. I can help you understand the best methods for growing a healthy rice crop."
"R011","Hi, help me with rice.","en","rice","greeting","Hello! Ask me anything about rice farming including seed selection, nursery preparation, fertilizer schedules, and harvesting."
"R012","Hello, rice farming guide.","en","rice","greeting","Hi there! I am here to support rice farmers with useful advice and practical crop management tips."
"R013","Hi, I have questions about rice.","en","rice","greeting","Assalam o Alaikum! I can assist you with rice farming questions including irrigation, pests, diseases, and fertilizer management."
"R014","Hello, rice crop help.","en","rice","greeting","Hello! Whether you are new to rice farming or experienced, I can help you improve crop yield and crop health."
"R015","Hi, tell me rice farming basics.","en","rice","greeting","Hi! Rice farming success depends on good soil preparation, proper irrigation, and balanced nutrients. How can I help you?"
"R016","Hello, I am new to rice farming.","en","rice","greeting","Welcome! Feel free to ask questions about rice cultivation practices and crop protection methods."
"R017","Hi, rice cultivation guide please.","en","rice","greeting","Hello! I can guide you through different stages of rice farming from nursery preparation to harvest."
"R018","Hello, need rice tips.","en","rice","greeting","Hi farmer! If you need help with rice crop problems or management practices, I'm here to assist you."
"R019","Hi, rice farmer here.","en","rice","greeting","Welcome to AgriSmart. Ask me about rice varieties, irrigation techniques, pest management, or fertilizer use."
"R020","Hello, rice information.","en","rice","greeting","Hello! I am your assistant for rice farming information and advice."
"R021","Hi, guide for rice crop.","en","rice","greeting","Hi! I can provide useful tips for improving rice production and maintaining healthy crops."
"R022","Hello, rice farming.","en","rice","greeting","Welcome! Rice cultivation requires proper planning and care. Let me know how I can help."
"R023","Hi, rice help.","en","rice","greeting","Hello! I can answer your questions about rice crop management and farming techniques."
"R024","Hello, rice basics.","en","rice","greeting","Hi there! Ask me anything about rice farming practices and crop improvement."
"R025","Hi, rice cultivation.","en","rice","greeting","Welcome! I'm here to help rice farmers solve common crop problems and improve yields."
"R026","Hello, rice crop.","en","rice","greeting","Hello! Rice farming involves careful management of water, soil, and nutrients. What would you like to know?"
"R027","Hi, rice advice.","en","rice","greeting","Hi! I can assist you with rice farming information and practical solutions for crop management."
"R028","Hello, rice tips.","en","rice","greeting","Welcome farmer! Feel free to ask about rice cultivation, pest control, irrigation, or fertilizer use."
"R029","Hi, rice farming info.","en","rice","greeting","Hello! I am ready to help you with rice farming knowledge and guidance."
"R030","Hello, rice guide.","en","rice","greeting","Hi! Let me know how I can assist you with your rice crop today."
"R031","How to grow rice?","en","rice","cultivation_info","Rice is grown by preparing the land, raising seedlings in a nursery, transplanting them into puddled fields, managing irrigation, applying fertilizers, controlling weeds and pests, and harvesting when the grains mature."
"R032","What is the best time to plant rice?","en","rice","cultivation_info","The best time to plant rice in Pakistan is usually from late May to early July depending on the region and variety."
"R033","When should I sow rice seeds?","en","rice","cultivation_info","Rice seeds are generally sown in nursery beds during May or early June for transplanting later."
"R034","How to prepare land for rice?","en","rice","cultivation_info","Land for rice should be ploughed, leveled properly, and puddled with water so the soil can retain moisture."
"R035","What is rice cultivation process?","en","rice","cultivation_info","Rice cultivation involves land preparation, nursery raising, transplanting, irrigation management, fertilization, pest control, and harvesting."
"R036","How many days does rice take to grow?","en","rice","cultivation_info","Most rice varieties take about 100 to 150 days to grow from planting to harvest."
