id,text,language,crop,label,answer
1,How can I prevent cotton root rot disease?,en,cotton,disease_management,"Improve soil drainage, use seed treatment with fungicides, and practice crop rotation to prevent root rot."
2,Where can I sell cotton for the best price?,en,cotton,market_price,Sell at registered mandis or directly to ginning factories; compare prices before selling.
3,FYM dene ka fasal par kya faaida hota hai?,ru,generic,soil_health,"FYM zameen ki banawat, naami, ghizayi faraahmi aur aam sehat behtar kar ke paidawar barhata hai."
4,How can farmers benefit from government subsidy programs?,en,generic,farming_advice,"Register with local agriculture department to access subsidized inputs, loans, and insurance schemes."
5,What is the recommended NPK ratio for cotton farming?,en,cotton,fertilizer_usage,"A ratio of 1.5 bags urea, 1 bag DAP, and 0.5 bag SOP per acre is generally recommended."
6,Can cotton grow well in sandy loam soil?,en,cotton,soil_type,"Yes, sandy loam soil is ideal for cotton as it drains well and warms up quickly."
7,What are the early signs of cotton leaf curl virus?,en,cotton,disease_management,"Upward leaf curling, dark green veins, and small leaf size are the early signs of leaf curl virus."
8,What is the best time of day to irrigate cotton?,en,cotton,irrigation_schedule,Irrigating in the early morning or evening reduces evaporation and improves water use efficiency.
9,How late can I sow cotton and still get good yield?,en,cotton,sowing_time,Cotton sown after June 15 faces reduced boll count and lower yield due to shorter growing season.
10,What type of bags are best for cotton storage?,en,cotton,storage_methods,"Clean, dry jute bags allow air circulation while protecting cotton; avoid plastic bags that trap moisture."
11,How to calibrate a boom sprayer for cotton fields?,en,cotton,farming_equipment,Calibrate by measuring output per nozzle per minute and adjusting speed to get recommended spray volume.
12,What are the benefits of growing legumes before wheat?,en,generic,crop_rotation,"Legumes fix atmospheric nitrogen and improve soil structure, boosting wheat yield in the next crop."
13,How can I reduce pesticide cost in cotton farming?,en,cotton,pest_control,Scout fields weekly and spray only at threshold levels; use IPM practices to reduce spray frequency.
14,Kapas mein wilt se bachne ke liye kya karein?,ru,cotton,disease_management,Resistant varieties use karein aur khraab zameen mein kapas na lagayein.
15,Seed drill kapas ki kasht mein use ho sakti hai?,ru,cotton,farming_equipment,"Haan, faasla adjust karne wali seed drill seedhi zameen mein kapas ki beejai ke liye use ho sakti hai."
16,What are the signs of healthy cotton plant growth?,en,cotton,crop_growth,"Dark green leaves, erect growth, regular node formation, and early squaring are signs of healthy cotton."
17,How many times should I spray pesticide on cotton?,en,cotton,pest_control,"Spray only when pest levels cross the economic threshold, usually 3 to 5 times per season."
18,When is the most critical irrigation time for cotton?,en,cotton,irrigation_schedule,The most critical irrigation is at flowering and boll formation stages to ensure maximum yield.
19,How to apply zinc fertilizer to cotton fields?,en,cotton,fertilizer_usage,Apply zinc sulphate at 5 kg per acre in soil or use foliar spray at first irrigation.
20,Seed drill kapas ki kasht mein use ho sakti hai?,ru,cotton,farming_equipment,"Haan, faasla adjust karne wali seed drill seedhi zameen mein kapas ki beejai ke liye use ho sakti hai."
21,How does late monsoon affect cotton harvesting schedule?,en,cotton,weather_impact,Late monsoon delays boll opening and can cause boll rot; adjust harvest timing accordingly.
22,Can cotton survive frost in early growing season?,en,cotton,weather_impact,Cotton is sensitive to frost; temperatures below 10°C can damage or kill young cotton seedlings.
23,When does cotton sowing season start in Pakistan?,en,cotton,sowing_time,Cotton sowing season typically starts in late April and continues through May in most of Pakistan.
24,Does topping of cotton plants increase boll count?,en,cotton,yield_improvement,Topping redirects energy to existing bolls and can improve boll weight and uniform maturity.
25,Kapas ki behtareen badhwaar ke liye kitna tapmaan chahiye?,ru,cotton,weather_impact,25 se 35 darje ke darmiyan tapmaan aur dhoopa kapas ki badhwaar ke liye sab se behtar hai.
26,How long after flowering does cotton boll mature?,en,cotton,harvesting,Cotton bolls typically mature 45 to 60 days after flowering under normal conditions.
27,Kapas ki boll galne ki bimari ka spray kya hai?,ru,cotton,disease_management,Mancozeb ya copper oxychloride spray boll rot ko kaafi had tak rokta hai.
28,Kapas ka behtareen beej kaunsa hai zyada paidawar ke liye?,ru,cotton,seed_selection,NIAB-878 aur CIM-599 Pakistan mein sabse zyada paidawar dene wali certified kapas ki varieties hain.
29,What seed rate is recommended per acre for cotton?,en,cotton,seed_selection,Use 3 to 4 kg of certified cotton seed per acre for optimal plant population.
30,Is there a biological control method for cotton bollworm?,en,cotton,pest_control,Trichogramma egg parasitoids can be released in cotton fields to control bollworm biologically.
31,Kapas ke tindayon ki tadaad barhane ke liye kya karein?,ru,cotton,yield_improvement,"Mutawazan khad, waqt par keeron ka control aur phoolon ke waqt pani dena tindaay barhata hai."
